female
52,1
44,5
50,1
50
52,5
46,4
54
42,2
50,2
43,5
44,3
47,1
47,9
48,5
46,8
48,9
45,5
49,7
45,6
52,6
48,3
53,3
50,3
41,2
47,6
46,1
49,1
46,9
58,9
54,7
45,7
44,7
50,3
49
42,7
52,1
52,2
55
43,3
52,1
42,4
43,8
54,7
46,8
57,5
48,8
52,4
48,4
50,4
48
53,9
47,7
49,3
49,9
41,1
52
43,5
55
48,9
55,7
53
52,1
47,2
56,8
50,6
51,7
48,8
50,1
48,1
44,7
51
42
54,8
57,3
45,8
53,1
45,3
59,1
46,7
49,5
50,3
44,3
56,8
46,3
54,8
57,6
46
43
42,6
44,1
46,5
54,5
43,5
44,9
57,3
47,6
53,2
46,5
53
50,9
50,8
48
48
49,4
48,7
49,2
52,1
49,5
51,9
53
37,8
48,2
44,5
41,7
48
53,4
47,2
48,3
54,1
48,2
