m1	 m2	 m3	 m4
27.75	 30.5	 34.75	 0
36	 40	 13.5	 72
32.75	 42	 23.5	 0
30.5	 42.5	 25.75	 0
34.75	 36.5	 29	 319
35	 33.75	 18.25	 13
33	 40.25	 13	 0
32.5	 34	 23.75	 101.5
33.25	 33.75	 26.25	 217.25
27.75	 38.25	 27.25	 17
32.5	 44.25	 12.5	 89.25
32.75	 40	 22.25	 20.25
33	 41.25	 26.75	 56
33.5	 41.75	 20.5	 0
35	 40	 40	 239.5
34	 37	 42.5	 0
34.5	 33	 21	 0
35.75	 41.75	 15.25	 17.75
26.5	 43.5	 26.75	 0
34.5	 46.75	 39.25	 44.5
32.75	 39.25	 12.25	 66
31	 35.75	 16.25	 0
32	 41.5	 21.75	 11.75
28.25	 37	 27.75	 0
32.25	 37.5	 36.5	 265.25
30.75	 35.5	 19.25	 113
36.25	 36.25	 32.5	 238.75
35	 35.25	 25	 34.25
34	 37.75	 5.25	 0
32	 49.25	 25.75	 0
28.5	 34.75	 34.5	 0
30	 26.5	 27.25	 54.25
30.75	 42.75	 16.5	 35.25
35.5	 34	 20.75	 54.5
34	 38	 28	 0
34.5	 43.5	 30	 118.75
34.5	 39.5	 14.5	 162
31.25	 44.75	 18.5	 137
33.5	 31	 27.75	 54.5
32.75	 44.75	 22.25	 91.5
28.5	 36.5	 16.75	 144.5
32.25	 48.5	 30	 14.25
33	 40.25	 23.25	 0
30.75	 39.5	 21.75	 0
32	 38.5	 17.75	 37.25
35.5	 38	 37.75	 0
30	 43.5	 32.25	 0
34.75	 40.5	 16	 38
35	 43.75	 14.5	 140
33.5	 40	 25.5	 154
