c1	 c2	 c3	 c4	 c5
2999.8	 1937.8	 2097.8	 3009.3	 3208.3
2980.6	 1891.9	 2283.1	 2993.8	 3200.5
2999.9	 1977.6	 2184.4	 3042.5	 3190.8
2985	 2014.4	 2245.4	 2993.9	 3231.7
3001.4	 1968.6	 2206.4	 3001.2	 3179.9
2997.1	 1942.5	 2218.6	 3006.4	 3224.2
2990.5	 2017.8	 2147.4	 2997	 3199.1
3010.1	 1993.6	 2139.2	 3000.3	 3200.5
2999.3	 2006.5	 2119.9	 3029.9	 3203.3
2992	 1995.9	 2215.1	 2992.4	 3186.8
3008.2	 2045.4	 2209.9	 3026.7	 3234.8
2995.2	 1984.7	 2270.9	 3003.4	 3218.1
2987.2	 1987.1	 2254.7	 2988.9	 3207.5
3005.9	 1996.5	 2216	 3015	 3197.2
3002.1	 1977.8	 2210.9	 3023.5	 3167.9
3014.5	 2004.8	 2311.2	 2985.1	 3179
3006.9	 2022.7	 2242.3	 3017.2	 3185.7
3010.3	 1932.9	 2213.1	 3005.2	 3195.8
3002.8	 2093	 2151.6	 2953.5	 3182.1
2993.7	 2054.5	 2241.3	 2996.9	 3208.7
2994.3	 2025.3	 2192.4	 3040.8	 3230
3002.2	 1982	 2221.6	 2997.1	 3198.7
2995.1	 2011.3	 2207.5	 3004.7	 3209
2989.7	 2068.3	 2160	 2989.3	 3211.9
2973.5	 1973.2	 2171.9	 3016.1	 3172.8
2994.4	 2066.1	 2203.7	 2982.6	 3204.1
2990	 1908.2	 2161	 3024.3	 3203.5
3000.1	 1945.4	 2178.7	 3007.3	 3185.1
2991.7	 1998.4	 2152.9	 2977.1	 3196.2
3001.8	 2042.9	 2179.2	 2968.3	 3216.3
2997.9	 2011.5	 2146.7	 3045.6	 3171.4
2997.8	 1998.7	 2180	 2988.3	 3193.1
3010.7	 1955.9	 2164.2	 3011.5	 3207.1
3008.8	 2007.2	 2247.6	 2990	 3243.1
2991.7	 1998.3	 2142	 3005.7	 3221.3
3017.4	 1938.1	 2298	 2981.1	 3168.7
2985.2	 1949.1	 2278.7	 2984	 3187
3006.4	 1886.6	 2222	 2979.2	 3232
3004.3	 1983	 2077.4	 3010.9	 3204.1
2998.8	 2043.4	 2171.4	 3000.6	 3248.9
3005.4	 1939.3	 2086.5	 3008.7	 3181.7
3001.3	 1886.4	 2177.3	 3000.1	 3194
2988.5	 1914.8	 2193.5	 3002	 3194.2
3015.1	 1927.2	 2221.7	 3016.3	 3161.6
3005.2	 2072.5	 2154.8	 3031.1	 3193
2997.3	 2056.5	 2253.6	 3004.9	 3228.4
2991.3	 2004.8	 2343.2	 2993.5	 3170.6
3009	 2003.4	 2088.3	 2981.9	 3205.2
2997.5	 2078.3	 2122.9	 2979.5	 3193
2992.9	 1992.2	 2199.7	 2990.6	 3187.8
