w1	 w2	 w3	 w4
31.25	 10.75	 20.25	 18.75
34	 32.75	 39.25	 15.5
32.5	 35	 55	 22
34.5	 18.75	 33.75	 25.5
29.5	 16.75	 3.5	 32.75
33.25	 20	 13.75	 28.75
38.5	 15.75	 0	 25.25
32.25	 12.5	 2.5	 31.25
27.75	 26.75	 31.25	 27.5
31.75	 28.75	 36.5	 22.75
33.5	 31.5	 51.5	 18.25
33	 9.5	 15.75	 27.75
31	 49.25	 23.5	 25.5
33.75	 50	 23	 39.5
28.25	 43.5	 16	 30
33.5	 49.75	 36	 24.75
32.25	 36.25	 19	 21.25
33	 22.5	 56	 34.75
29.5	 5.25	 37.5	 27.25
32	 21.5	 45.75	 23.25
37.75	 35.75	 38.25	 22
33.25	 45	 48.75	 26.75
36.25	 22.5	 53.5	 29
32	 8.25	 23	 30.25
32.75	 16.5	 37	 19.5
36	 24.75	 36	 30
31.25	 47.75	 47	 13.75
32.75	 37.25	 21.75	 31.25
32.25	 30	 43.25	 22
34.25	 44.75	 16.25	 24.5
32.5	 33.5	 66	 21.25
33	 39.25	 4.5	 23.75
31.5	 18.75	 26.5	 21.75
33.75	 30.75	 23.5	 28.25
28	 31.25	 38.75	 19.25
38	 17.75	 9.75	 27.5
33.75	 38.5	 11	 27.75
32.5	 37	 28	 23.75
26	 24.25	 61.5	 25.5
32.75	 29.75	 15.5	 25.5
33.5	 33.5	 76.5	 24.75
36.25	 36.5	 49.25	 22.25
30.25	 25.25	 29.75	 35
32	 23.75	 29.5	 26.25
32.5	 7	 23	 29.25
35.25	 39	 13.5	 23
31.75	 17	 35.5	 20.5
33.75	 46.75	 34.5	 21.5
32.75	 23.5	 39.5	 23.25
33	 43	 22.75	 34.25
