m1	 m2	 m3	 m4
32.25	 41.5	 26.5	 43.5
28.5	 36.5	 22.25	 0
35.25	 25.5	 29	 0
29.25	 32.25	 23.25	 121.5
36	 28.5	 28.25	 62
28	 30	 24.75	 39.75
30.5	 36.75	 20.25	 101
33	 37.25	 29.75	 121.75
31	 27.25	 45	 35.5
29.5	 36.5	 19.5	 0
28.25	 41.75	 19.25	 205.25
34.75	 45.25	 19	 35.5
30.25	 44.25	 31.75	 0
34	 41.5	 27.75	 115
33.75	 39.5	 25.75	 38.25
32.25	 39	 24.5	 118.25
30	 45	 17.5	 161
37.25	 35	 18.5	 0
33.25	 37.25	 30.75	 0
34	 36.25	 31	 100.75
31.5	 35.75	 23.75	 276.75
37.25	 36.5	 37.5	 101
37	 27.75	 27.5	 212.75
30.75	 34.75	 14	 53.5
30.5	 34.75	 39.5	 0
34.25	 46.25	 33.25	 184.75
36.5	 38.25	 21.25	 0
35.75	 33.25	 32.5	 201.25
28.5	 45.5	 18.5	 0
36	 32.25	 17.5	 0
29	 37.25	 17.25	 62.75
34	 37.5	 29.5	 0
36.25	 37.5	 27.75	 36.5
30.25	 31	 35.75	 67.25
32.25	 28.25	 26.5	 49.75
31.5	 36	 20.75	 103
38	 41.75	 23.75	 62
31	 35	 29	 0
32.75	 33	 28.5	 95.5
28.25	 38	 31.25	 81
33.75	 33.5	 29.75	 0
31.75	 37.75	 29.5	 43.75
32.25	 35.5	 26.5	 248.5
34	 38	 28.75	 0
33.5	 35.5	 31.75	 0
29.25	 31.5	 24.25	 167
32	 38.5	 29.5	 0
31.5	 41	 20	 66.75
36.75	 38.5	 32	 200.75
31	 33.25	 21.75	 141.25
