w1	 w2	 w3	 w4
28	 22.25	 29.75	 27.5
35.25	 9.25	 29.5	 18.25
33	 31.75	 26.75	 17.5
31.25	 21.5	 24	 24
27.5	 35.75	 43	 19.5
31.75	 16.75	 22.75	 30
30.25	 12.25	 43.5	 29
28.5	 17.75	 44.25	 25.75
30.75	 29.75	 16.5	 25
33.75	 26.25	 59.25	 22
35.75	 16.75	 4	 19.75
29.5	 26.25	 63.5	 22
33.25	 38.5	 32.5	 22.75
35.75	 43	 24	 24
35.75	 30.25	 22.75	 29
31.5	 33.5	 62.25	 18.5
36.75	 42.75	 4.5	 29.25
32.75	 48	 14.5	 25.25
31	 33	 3.75	 25.75
31	 41	 8	 20.75
32.25	 47	 46	 26.25
29.75	 33.25	 26.25	 28
33.75	 6.25	 0	 24.75
36	 31.5	 26.75	 31
34.5	 29.5	 29.25	 21.5
31.75	 25.5	 35.25	 30.25
32.75	 19.75	 24.75	 28.75
34	 32.25	 62.25	 28
31.75	 27.75	 34.25	 22.75
29.25	 37.5	 27.5	 21
29.5	 21.75	 44.25	 33.75
31.5	 27.25	 29.75	 25
30.5	 5.5	 13.75	 32.25
31.75	 16.5	 49.75	 13.5
34	 0	 27.5	 12.5
30.25	 26.5	 21.25	 26.75
29.25	 20.25	 18.25	 17
32.25	 46.5	 52.75	 27
30	 18	 54.25	 25.25
28.5	 40.75	 24.25	 25
31.5	 13.75	 30.75	 29.25
31	 27.75	 26.25	 21.75
30.75	 42.25	 11	 17.25
30.25	 28.25	 36	 21
29.75	 24.25	 28.5	 24
32.5	 49	 27.75	 14.5
32.75	 63	 35.25	 22.25
29.75	 12.5	 21.75	 32.25
34.25	 50.25	 16	 32.25
33.5	 17.5	 30	 25
