c1	 c2	 c3	 c4	 c5
2991.8	 2008.4	 2317.6	 2989.9	 3214.5
3009.6	 1942.2	 2125	 3002.7	 3199.4
3002	 1958.5	 2184.3	 2981.2	 3189.5
2982.7	 1923	 2218.9	 3003.1	 3193.7
2984.8	 1963.7	 2130	 2986.4	 3161
3018.7	 2004.5	 2195.5	 3011.3	 3185.3
2999.8	 2047.1	 2267.4	 2988	 3209.3
2986.8	 2001.1	 2268.5	 2987.7	 3185
2992.9	 1988.3	 2240.9	 3016.5	 3217
2985.9	 2044.8	 2216.9	 3025.9	 3164.6
3011.2	 1990.7	 2227.8	 2982.1	 3192.6
2997.1	 1895.3	 2209.3	 3032	 3198.8
3014.3	 2002.7	 2237.4	 3000.1	 3202.9
3003.9	 2039.7	 2195.2	 2980.3	 3190.8
2996.5	 2018.3	 2094.5	 2971.2	 3213.3
3010.7	 1969.4	 2263.7	 3029.7	 3180.1
3005	 1998.3	 2227.7	 2983.7	 3201
2997.7	 2067.7	 2120.9	 2980.6	 3231.5
2995.5	 1965.5	 2313.2	 3038.9	 3171.4
2996.1	 2065.3	 2116.5	 2948.6	 3177.6
3010.8	 1987.1	 2158.8	 2982	 3197.4
2993.7	 2045.2	 2095	 2975	 3199.7
2996.5	 1961.3	 2154	 3003.7	 3217.8
2993.6	 2002.8	 2319.3	 2994.3	 3186.4
3000.2	 1976.5	 2254	 3003.6	 3195.9
3004.4	 2091.4	 2181.1	 2994.6	 3203.2
3009.2	 1982.9	 2187.6	 2986.3	 3239.4
3001.8	 2028.5	 2271.3	 3024.1	 3192.7
3002.3	 1998.3	 2222.2	 2994.8	 3181.7
2992.2	 2157.5	 2263	 2978.9	 3183.3
3011.6	 2107.3	 2200.2	 2989.6	 3225.9
3007.7	 1987.3	 2101.7	 3017.4	 3203.3
3006.5	 1925	 2179.2	 2976.5	 3189.8
3005.9	 2004.9	 2207.2	 2991.3	 3210
3001.8	 1993.9	 2227	 3023.8	 3205
2989.4	 1945.4	 2150	 2998.7	 3194.6
3000	 1961.9	 2008.3	 2998.6	 3182.6
2995.1	 2020.1	 2181.8	 3040.7	 3205.2
2998.5	 2100.4	 2111.6	 2999.2	 3196.6
2996.4	 2011.3	 2145	 3017.8	 3179.9
2994.1	 2001.6	 2153	 3037.5	 3200.5
3003.4	 1963.8	 2138.3	 3023	 3176.3
2991	 1975.9	 2159.2	 2951.3	 3224
3002	 1974.1	 2132.9	 3015.5	 3203.4
3011.2	 2004.6	 2214.4	 3012.3	 3202.4
2990	 2011.6	 2240.8	 3003.2	 3223
2995.5	 2068.1	 2281.6	 3055.3	 3217.4
2992.5	 2052.3	 2284.5	 3018.6	 3166.9
3009.2	 2002.8	 2148	 2983.6	 3259.5
3007.3	 1946.8	 2352.6	 2976.7	 3214
